Name,Email,Paid at,Financial Status,Lineitem sku,Lineitem quantity,Subtotal,Taxes,Total,Lineitem Additional Sample Sale Execution Costs
SS-2028,marcusfrost@example.com,2025-04-13 00:00:00 +0000,paid,V-SS26P-26W2102PNAN-BEG,1,45.0,9.0,54.0,2.25
SS-2029,jacobkaur@example.com,2025-04-16 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2030,susanhammond@example.org,2025-04-12 00:00:00 +0000,paid,V-SS26P-26W2102PNAN-BEG,1,45.0,9.0,54.0,2.25
SS-2031,stewartconor@example.org,2025-04-16 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2032,emilystephens@example.net,2025-04-12 00:00:00 +0000,paid,RU02E1623-FW25P-50-BOSCO,1,109.5,21.9,131.4,5.48
SS-2033,griffithslucy@example.net,2025-04-16 00:00:00 +0000,paid,RU02E1623-FW25P-50-BOSCO,1,109.5,21.9,131.4,5.48
SS-2034,mwright@example.org,2025-04-12 00:00:00 +0000,paid,25M1501P-FW25P-43-BLACK,1,46.5,9.3,55.8,2.33
SS-2035,traceydouglas@example.com,2025-04-13 00:00:00 +0000,paid,SPORT-SKIRT-BLK-M,1,75.0,15.0,90.0,3.75
SS-2036,dorothy67@example.net,2025-04-14 00:00:00 +0000,paid,SPORT-SKIRT-BLK-M,1,75.0,15.0,90.0,3.75
SS-2037,revans@example.org,2025-04-16 00:00:00 +0000,paid,CANDLE-MARM-175,1,18.0,3.6,21.6,0.9
SS-2038,angela91@example.net,2025-04-15 00:00:00 +0000,paid,CANDLE-MARM-175,1,18.0,3.6,21.6,0.9
SS-2039,wmoran@example.net,2025-04-11 00:00:00 +0000,paid,RU02E1262-FW25P-50-WASHE,1,70.5,14.1,84.6,3.53
SS-2040,butleraimee@example.net,2025-04-13 00:00:00 +0000,paid,RU02E1623-FW25P-50-BOSCO,1,109.5,21.9,131.4,5.48
SS-2041,oclarke@example.com,2025-04-15 00:00:00 +0000,paid,25M1501P-FW25P-43-BLACK,1,46.5,9.3,55.8,2.33
SS-2042,louis94@example.com,2025-04-12 00:00:00 +0000,paid,CANDLE-MARM-175,1,18.0,3.6,21.6,0.9
SS-2043,rosemarypayne@example.net,2025-04-13 00:00:00 +0000,paid,CANDLE-MARM-175,1,18.0,3.6,21.6,0.9
SS-2044,aimee78@example.com,2025-04-11 00:00:00 +0000,paid,RU02E1623-FW25P-50-BOSCO,1,109.5,21.9,131.4,5.48
SS-2045,megan19@example.net,2025-04-14 00:00:00 +0000,paid,CANDLE-MARM-175,1,18.0,3.6,21.6,0.9
SS-2046,cookirene@example.org,2025-04-12 00:00:00 +0000,paid,V-SS26P-26W2102PNAN-BEG,1,45.0,9.0,54.0,2.25
SS-2047,parkescameron@example.net,2025-04-16 00:00:00 +0000,paid,SPORT-SKIRT-BLK-M,1,75.0,15.0,90.0,3.75
SS-2048,lynntaylor@example.net,2025-04-15 00:00:00 +0000,paid,CANDLE-MARM-175,1,18.0,3.6,21.6,0.9
SS-2049,cwhite@example.com,2025-04-11 00:00:00 +0000,paid,SPORT-SKIRT-BLK-M,1,75.0,15.0,90.0,3.75
