Name,Email,Financial Status,Created at,Paid at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem sku,Lineitem discount,Lineitem fulfillment status,Subtotal,Shipping,Taxes,Total,Discount Amount,Refunded Amount
#1005,tbryant@example.org,paid,2025-11-22 17:00:00 +0000,2025-11-22 17:00:00 +0000,2,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,310.0,10.0,62.0,382.0,0.0,0.0
#1006,debraevans@example.net,paid,2025-09-29 17:00:00 +0000,2025-09-29 17:00:00 +0000,2,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,120.0,10.0,24.0,154.0,0.0,0.0
#1007,vgiles@example.com,paid,2025-11-19 08:00:00 +0000,2025-11-19 08:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,235.0,10.0,47.0,292.0,0.0,0.0
#1007,,,2025-11-19 08:00:00 +0000,2025-11-19 08:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,,,,,,
#1008,gashton@example.org,paid,2025-11-30 22:00:00 +0000,2025-11-30 22:00:00 +0000,1,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,200.0,10.0,40.0,250.0,50.0,0.0
#1009,wbell@example.net,paid,2025-03-20 10:00:00 +0000,2025-03-20 10:00:00 +0000,2,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,310.0,10.0,62.0,382.0,0.0,0.0
#1009,,,2025-03-20 10:00:00 +0000,2025-03-20 10:00:00 +0000,1,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,,,,,,
#1010,gardneredward@example.net,paid,2025-07-16 09:00:00 +0000,2025-07-16 09:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,235.0,10.0,47.0,292.0,0.0,0.0
#1010,,,2025-07-16 09:00:00 +0000,2025-07-16 09:00:00 +0000,2,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,,,,,,
#1011,zoe61@example.org,paid,2025-11-23 16:00:00 +0000,2025-11-23 16:00:00 +0000,1,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,365.0,10.0,73.0,448.0,0.0,0.0
#1011,,,2025-11-23 16:00:00 +0000,2025-11-23 16:00:00 +0000,1,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,,,,,,
#1011,,,2025-11-23 16:00:00 +0000,2025-11-23 16:00:00 +0000,2,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,,,,,,
#1012,henryevans@example.net,paid,2025-03-23 13:00:00 +0000,2025-03-23 13:00:00 +0000,1,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,60.0,10.0,12.0,82.0,0.0,0.0
#1013,seanwilliams@example.net,paid,2025-01-24 09:00:00 +0000,2025-01-24 09:00:00 +0000,2,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,300.0,10.0,60.0,370.0,0.0,0.0
#1013,,,2025-01-24 09:00:00 +0000,2025-01-24 09:00:00 +0000,2,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,,,,,,
#1013,,,2025-01-24 09:00:00 +0000,2025-01-24 09:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,,,,,,
#1014,fisherian@example.net,paid,2025-07-16 11:00:00 +0000,2025-07-16 11:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,235.0,10.0,47.0,292.0,0.0,0.0
#1014,,,2025-07-16 11:00:00 +0000,2025-07-16 11:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,,,,,,
#1014,,,2025-07-16 11:00:00 +0000,2025-07-16 11:00:00 +0000,2,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,,,,,,
#1015,jenningscheryl@example.net,paid,2025-02-05 09:00:00 +0000,2025-02-05 09:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,235.0,10.0,47.0,292.0,0.0,0.0
#1015,,,2025-02-05 09:00:00 +0000,2025-02-05 09:00:00 +0000,1,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,,,,,,
#1015,,,2025-02-05 09:00:00 +0000,2025-02-05 09:00:00 +0000,1,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,,,,,,
#1016,mariangilbert@example.com,paid,2025-12-28 08:00:00 +0000,2025-12-28 08:00:00 +0000,2,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,500.0,10.0,100.0,610.0,0.0,0.0
#1017,emma37@example.org,paid,2025-07-02 09:00:00 +0000,2025-07-02 09:00:00 +0000,2,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,470.0,10.0,94.0,574.0,0.0,0.0
#1018,patelryan@example.net,paid,2025-09-17 11:00:00 +0000,2025-09-17 11:00:00 +0000,1,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,250.0,10.0,50.0,310.0,0.0,0.0
#1019,bahmed@example.net,paid,2025-01-07 19:00:00 +0000,2025-01-07 19:00:00 +0000,2,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,300.0,10.0,60.0,370.0,0.0,0.0
#1020,deanhodgson@example.com,paid,2025-11-01 15:00:00 +0000,2025-11-01 15:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,680.0,10.0,136.0,826.0,50.0,0.0
#1021,carternaomi@example.net,paid,2025-04-26 10:00:00 +0000,2025-04-26 10:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,235.0,10.0,47.0,292.0,0.0,0.0
#1021,,,2025-04-26 10:00:00 +0000,2025-04-26 10:00:00 +0000,1,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,,,,,,
#1022,francesca65@example.org,paid,2025-08-05 09:00:00 +0000,2025-08-05 09:00:00 +0000,2,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,420.0,10.0,84.0,514.0,50.0,0.0
#1023,jonesderek@example.com,paid,2025-01-21 11:00:00 +0000,2025-01-21 11:00:00 +0000,1,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,200.0,10.0,40.0,250.0,50.0,0.0
#1024,gillian98@example.org,paid,2025-02-13 17:00:00 +0000,2025-02-13 17:00:00 +0000,2,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,120.0,10.0,24.0,154.0,0.0,0.0
#1024,,,2025-02-13 17:00:00 +0000,2025-02-13 17:00:00 +0000,2,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,,,,,,
#1024,,,2025-02-13 17:00:00 +0000,2025-02-13 17:00:00 +0000,1,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,,,,,,
#1025,shaun74@example.com,paid,2025-01-19 19:00:00 +0000,2025-01-19 19:00:00 +0000,1,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,365.0,10.0,73.0,448.0,0.0,0.0
#1025,,,2025-01-19 19:00:00 +0000,2025-01-19 19:00:00 +0000,1,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,,,,,,
#1026,norrisvalerie@example.net,paid,2025-10-04 13:00:00 +0000,2025-10-04 13:00:00 +0000,1,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,155.0,10.0,31.0,196.0,0.0,0.0
#1027,gemmaread@example.net,paid,2025-10-13 15:00:00 +0000,2025-10-13 15:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,100.0,10.0,20.0,130.0,50.0,0.0
#1028,tross@example.org,paid,2025-12-18 13:00:00 +0000,2025-12-18 13:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,185.0,10.0,37.0,232.0,50.0,0.0
#1028,,,2025-12-18 13:00:00 +0000,2025-12-18 13:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,,,,,,
#1029,lynne30@example.net,paid,2025-08-15 19:00:00 +0000,2025-08-15 19:00:00 +0000,1,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,365.0,10.0,73.0,448.0,0.0,0.0
#1029,,,2025-08-15 19:00:00 +0000,2025-08-15 19:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,,,,,,
#1030,zwilson@example.com,paid,2025-11-24 18:00:00 +0000,2025-11-24 18:00:00 +0000,2,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,310.0,10.0,62.0,382.0,0.0,0.0
#1031,leigh98@example.org,paid,2025-11-09 10:00:00 +0000,2025-11-09 10:00:00 +0000,1,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,250.0,10.0,50.0,310.0,0.0,0.0
#1031,,,2025-11-09 10:00:00 +0000,2025-11-09 10:00:00 +0000,2,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,,,,,,
#1032,dorothyevans@example.com,paid,2025-11-26 20:00:00 +0000,2025-11-26 20:00:00 +0000,1,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,250.0,10.0,50.0,310.0,0.0,0.0
#1033,williamsjason@example.org,paid,2025-03-10 16:00:00 +0000,2025-03-10 16:00:00 +0000,2,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,500.0,10.0,100.0,610.0,0.0,0.0
#1033,,,2025-03-10 16:00:00 +0000,2025-03-10 16:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,,,,,,
#1033,,,2025-03-10 16:00:00 +0000,2025-03-10 16:00:00 +0000,1,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,,,,,,
#1034,saundersshannon@example.com,paid,2025-06-21 12:00:00 +0000,2025-06-21 12:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,150.0,10.0,30.0,190.0,0.0,0.0
#1034,,,2025-06-21 12:00:00 +0000,2025-06-21 12:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,,,,,,
#1035,rosemary70@example.net,paid,2025-06-07 19:00:00 +0000,2025-06-07 19:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,680.0,10.0,136.0,826.0,50.0,0.0
#1036,kaurjoanne@example.org,paid,2025-09-24 09:00:00 +0000,2025-09-24 09:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,730.0,10.0,146.0,886.0,0.0,0.0
#1036,,,2025-09-24 09:00:00 +0000,2025-09-24 09:00:00 +0000,1,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,,,,,,
#1037,zoenixon@example.net,paid,2025-04-20 18:00:00 +0000,2025-04-20 18:00:00 +0000,2,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,120.0,10.0,24.0,154.0,0.0,0.0
#1037,,,2025-04-20 18:00:00 +0000,2025-04-20 18:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,,,,,,
#1037,,,2025-04-20 18:00:00 +0000,2025-04-20 18:00:00 +0000,2,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,,,,,,
#1038,gilbertvanessa@example.net,paid,2025-01-03 10:00:00 +0000,2025-01-03 10:00:00 +0000,2,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,500.0,10.0,100.0,610.0,0.0,0.0
#1039,osbornedenise@example.com,paid,2025-07-15 09:00:00 +0000,2025-07-15 09:00:00 +0000,2,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,120.0,10.0,24.0,154.0,0.0,0.0
#1039,,,2025-07-15 09:00:00 +0000,2025-07-15 09:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,,,,,,
#1040,coneill@example.org,paid,2025-02-07 10:00:00 +0000,2025-02-07 10:00:00 +0000,2,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,300.0,10.0,60.0,370.0,0.0,0.0
#1041,humphriesmaureen@example.net,paid,2025-10-22 10:00:00 +0000,2025-10-22 10:00:00 +0000,1,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,105.0,10.0,21.0,136.0,50.0,0.0
#1042,qgreen@example.com,paid,2025-09-20 22:00:00 +0000,2025-09-20 22:00:00 +0000,2,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,500.0,10.0,100.0,610.0,0.0,0.0
#1042,,,2025-09-20 22:00:00 +0000,2025-09-20 22:00:00 +0000,2,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,,,,,,
#1043,whiteheadmohamed@example.com,paid,2025-03-09 18:00:00 +0000,2025-03-09 18:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,730.0,10.0,146.0,886.0,0.0,0.0
#1043,,,2025-03-09 18:00:00 +0000,2025-03-09 18:00:00 +0000,1,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,,,,,,
#1043,,,2025-03-09 18:00:00 +0000,2025-03-09 18:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,,,,,,
#1044,peterbell@example.net,paid,2025-02-26 13:00:00 +0000,2025-02-26 13:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,680.0,10.0,136.0,826.0,50.0,0.0
#1044,,,2025-02-26 13:00:00 +0000,2025-02-26 13:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,,,,,,
#1045,hodgsoncallum@example.com,paid,2025-02-11 17:00:00 +0000,2025-02-11 17:00:00 +0000,2,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,260.0,10.0,52.0,322.0,50.0,0.0
#1046,smithrussell@example.com,paid,2025-03-22 14:00:00 +0000,2025-03-22 14:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,150.0,10.0,30.0,190.0,0.0,0.0
#1046,,,2025-03-22 14:00:00 +0000,2025-03-22 14:00:00 +0000,2,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,,,,,,
#1046,,,2025-03-22 14:00:00 +0000,2025-03-22 14:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,,,,,,
#1047,hmitchell@example.org,paid,2025-05-09 19:00:00 +0000,2025-05-09 19:00:00 +0000,2,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,470.0,10.0,94.0,574.0,0.0,0.0
#1048,damianmorgan@example.net,paid,2025-06-26 16:00:00 +0000,2025-06-26 16:00:00 +0000,2,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,450.0,10.0,90.0,550.0,50.0,0.0
#1049,charlie54@example.com,paid,2025-01-13 12:00:00 +0000,2025-01-13 12:00:00 +0000,1,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,105.0,10.0,21.0,136.0,50.0,0.0
#1049,,,2025-01-13 12:00:00 +0000,2025-01-13 12:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,,,,,,
#1049,,,2025-01-13 12:00:00 +0000,2025-01-13 12:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,,,,,,
#1050,jameskenneth@example.com,paid,2025-11-13 18:00:00 +0000,2025-11-13 18:00:00 +0000,2,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,70.0,10.0,14.0,94.0,50.0,0.0
#1050,,,2025-11-13 18:00:00 +0000,2025-11-13 18:00:00 +0000,2,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,,,,,,
#1050,,,2025-11-13 18:00:00 +0000,2025-11-13 18:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,,,,,,
#1051,kmacdonald@example.org,paid,2025-08-23 13:00:00 +0000,2025-08-23 13:00:00 +0000,2,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,310.0,10.0,62.0,382.0,0.0,0.0
#1051,,,2025-08-23 13:00:00 +0000,2025-08-23 13:00:00 +0000,1,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,,,,,,
#1051,,,2025-08-23 13:00:00 +0000,2025-08-23 13:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,,,,,,
#1052,vbond@example.net,paid,2025-07-19 10:00:00 +0000,2025-07-19 10:00:00 +0000,2,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,300.0,10.0,60.0,370.0,0.0,0.0
#1053,haywardaaron@example.org,paid,2025-10-13 14:00:00 +0000,2025-10-13 14:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,730.0,10.0,146.0,886.0,0.0,0.0
#1054,jodie01@example.net,paid,2025-06-15 21:00:00 +0000,2025-06-15 21:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,100.0,10.0,20.0,130.0,50.0,0.0
#1055,junecooke@example.com,paid,2025-09-14 17:00:00 +0000,2025-09-14 17:00:00 +0000,2,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,420.0,10.0,84.0,514.0,50.0,0.0
#1056,joshua41@example.org,paid,2025-04-10 13:00:00 +0000,2025-04-10 13:00:00 +0000,2,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,300.0,10.0,60.0,370.0,0.0,0.0
#1056,,,2025-04-10 13:00:00 +0000,2025-04-10 13:00:00 +0000,1,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,,,,,,
#1057,rosie75@example.org,paid,2025-11-06 08:00:00 +0000,2025-11-06 08:00:00 +0000,1,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,235.0,10.0,47.0,292.0,0.0,0.0
#1058,lisajones@example.net,paid,2025-06-07 11:00:00 +0000,2025-06-07 11:00:00 +0000,1,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,365.0,10.0,73.0,448.0,0.0,0.0
#1058,,,2025-06-07 11:00:00 +0000,2025-06-07 11:00:00 +0000,2,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,,,,,,
#1059,mitchell06@example.net,paid,2025-06-28 13:00:00 +0000,2025-06-28 13:00:00 +0000,2,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,310.0,10.0,62.0,382.0,0.0,0.0
#1060,mitchellturner@example.com,paid,2025-07-15 17:00:00 +0000,2025-07-15 17:00:00 +0000,1,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,155.0,10.0,31.0,196.0,0.0,0.0
#1061,kroberts@example.net,paid,2025-11-18 16:00:00 +0000,2025-11-18 16:00:00 +0000,2,Sport Uniform Skirt - Black,250.0,SPORT-SKIRT-BLK-M,0,fulfilled,500.0,10.0,100.0,610.0,0.0,0.0
#1062,garrychapman@example.org,paid,2025-03-10 09:00:00 +0000,2025-03-10 09:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,730.0,10.0,146.0,886.0,0.0,0.0
#1062,,,2025-03-10 09:00:00 +0000,2025-03-10 09:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,,,,,,
#1063,mariawalker@example.org,paid,2025-02-23 10:00:00 +0000,2025-02-23 10:00:00 +0000,2,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,470.0,10.0,94.0,574.0,0.0,0.0
#1063,,,2025-02-23 10:00:00 +0000,2025-02-23 10:00:00 +0000,1,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,,,,,,
#1064,jeffrey30@example.org,paid,2025-07-04 16:00:00 +0000,2025-07-04 16:00:00 +0000,2,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,310.0,10.0,62.0,382.0,0.0,0.0
#1064,,,2025-07-04 16:00:00 +0000,2025-07-04 16:00:00 +0000,2,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,,,,,,
#1065,zstokes@example.com,paid,2025-05-17 21:00:00 +0000,2025-05-17 21:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,100.0,10.0,20.0,130.0,50.0,0.0
#1066,leonharrison@example.com,paid,2025-07-13 21:00:00 +0000,2025-07-13 21:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,730.0,10.0,146.0,886.0,0.0,0.0
#1066,,,2025-07-13 21:00:00 +0000,2025-07-13 21:00:00 +0000,2,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,,,,,,
#1067,lprice@example.org,paid,2025-08-31 10:00:00 +0000,2025-08-31 10:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,100.0,10.0,20.0,130.0,50.0,0.0
#1067,,,2025-08-31 10:00:00 +0000,2025-08-31 10:00:00 +0000,2,Hollywood Banana Longsleeve Tee,235.0,RU02E1262-FW25P-50-WASHE,0,fulfilled,,,,,,
#1068,taylortrevor@example.com,paid,2025-11-04 19:00:00 +0000,2025-11-04 19:00:00 +0000,2,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,310.0,10.0,62.0,382.0,0.0,0.0
#1068,,,2025-11-04 19:00:00 +0000,2025-11-04 19:00:00 +0000,2,Oversized Longsleeve Hoodie - Grey,365.0,RU02E1623-FW25P-50-BOSCO,0,fulfilled,,,,,,
#1068,,,2025-11-04 19:00:00 +0000,2025-11-04 19:00:00 +0000,2,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,,,,,,
#1069,yhughes@example.com,paid,2025-03-07 18:00:00 +0000,2025-03-07 18:00:00 +0000,2,Mens Jaya Evo Mules - Black,155.0,25M1501P-FW25P-43-BLACK,0,fulfilled,310.0,10.0,62.0,382.0,0.0,0.0
#1070,karlparker@example.com,paid,2025-11-06 12:00:00 +0000,2025-11-06 12:00:00 +0000,1,Marmalade Candle - 175g,60.0,CANDLE-MARM-175,0,fulfilled,10.0,10.0,2.0,22.0,50.0,0.0
#1071,wilsonjoe@example.org,paid,2025-04-01 18:00:00 +0000,2025-04-01 18:00:00 +0000,1,Womens Performa Jane Evo - Beige,150.0,V-SS26P-26W2102PNAN-BEG,0,fulfilled,150.0,10.0,30.0,190.0,0.0,0.0
